     nm       O         O2        N2        He        H
  72.40000  14.30000  26.95000  57.54700   0.00000   3.45002
  72.50000  50.90100  25.30000  37.95800   0.00000   3.46085
  72.60000  24.06700  42.30000  29.24300   0.00000   3.47172
  72.70000  13.95600  36.43300  26.52900   0.00000   3.48262
  72.80000   8.99000  30.38000  24.17300   0.00000   3.49355
  72.90000   9.17000  27.90000  22.94100   0.00000   3.50452
  73.00000   8.68900  29.96900  23.07700   0.00000   3.51552
  73.10000   8.30700  34.81500  23.11300   0.00000   3.52656
  73.20000   8.07600  37.22900  22.24200   0.00000   3.53763
  73.30000   5.20800  39.67500  21.37100   0.00000   3.54874
  73.40000   8.61800  33.61000  20.50000   0.00000   3.55988
  73.50000  15.00000  34.91000  25.00000   0.00000   3.57106
  73.60000  16.12500  34.23200  20.50000   0.00000   3.58227
  73.70000  10.40000  32.70500  26.40000   0.00000   3.59351
  73.80000  12.50000  31.61700  18.20000   0.00000   3.60480
  73.90000  14.37500  26.45000  27.30000   0.00000   3.61611
  74.00000   9.08000  25.70000  23.60000   0.00000   3.62747
  74.10000  18.41100  21.03300  17.30000   0.00000   3.63885
  74.20000  11.76900  21.30000  18.20000   0.00000   3.65028
  74.30000   6.33300  18.64000  13.20000   0.00000   3.66174
  74.40000  21.76300  19.05600  31.80000   0.00000   3.67324
  74.50000   9.67500  20.50000  31.80000   0.00000   3.68477
  74.60000   5.42500  19.14300  15.90000   0.00000   3.69634
  74.70000   5.48700  21.20000  22.70000   0.00000   3.70794
  74.80000  20.10000  15.60000  38.60000   0.00000   3.71958
  74.90000  20.32900  19.70000  18.60000   0.00000   3.73126
  75.00000   9.82000  23.80000  33.20000   0.00000   3.74297
  75.00100   9.75400  23.73700  33.09500   0.00000   3.74309
  75.10000   5.00300  17.50000  22.70000   0.00000   3.75472
  75.20000   4.34700  17.73800  18.20000   0.00000   3.76651
  75.30000   4.40000  15.30500  13.60000   0.00000   3.77834
  75.40000   4.75700  19.35200  27.30000   0.00000   3.79020
  75.50000  22.34300  23.40000  30.00000   0.00000   3.80210
  75.60000  40.18500  19.00000  20.00000   0.00000   3.81404
  75.70000  13.11500  18.50000  50.00000   0.00000   3.82601
  75.80000  12.70000  17.50000  16.80000   0.00000   3.83802
  75.86800   9.70800  18.68400  27.86300   0.00000   3.84621
  75.90000   8.30000  17.98000  19.04300   0.00000   3.85007
  75.94400   6.36400  17.22600  12.69500   0.00000   3.85538
  76.00000   3.90000  18.99200  23.82500   0.00000   3.86216
  76.03000   4.05900  19.93800  27.80000   0.00000   3.86579
  76.10000   4.05000  20.48800  46.00000   0.00000   3.87428
  76.11300   4.04900  20.17900  48.60000   0.00000   3.87586
  76.20000   4.03800  19.63300  36.40000   0.00000   3.88645
  76.30000   4.02500  21.15700  16.00000   0.00000   3.89865
  76.40000   4.01300  19.38600  18.20000   0.00000   3.91089
  76.50000   4.00000  19.90000 150.00000   0.00000   3.92317
  76.51501   3.99700  20.80000 120.49400   0.00000   3.92501
  76.60000   3.98000  20.77700  14.50000   0.00000   3.93548
  76.70000   3.96000  19.55000  13.40900   0.00000   3.94784
  76.80000   3.94000  18.19100  36.25100   0.00000   3.96023
  76.90000   3.92000  19.35000  25.00000   0.00000   3.97267
  77.00000   3.90000  17.20000  26.85000   0.00000   3.98514
  77.04100   3.89200  18.90900  14.18200   0.00000   3.99026
  77.10000   3.88000  20.82500  25.00000   0.00000   3.99765
  77.20000   3.86000  24.00000  50.00000   0.00000   4.01020
  77.30000   3.84000  26.37200  21.50000   0.00000   4.02279
  77.40000   3.82000  20.95000  14.50000   0.00000   4.03542
  77.50000   3.80000  14.45000  40.90000   0.00000   4.04809
  77.60000   3.78000  18.45000 125.00000   0.00000   4.06080
  77.70000   3.76000  23.61700  24.50000   0.00000   4.07355
  77.80000   3.74000  28.78300  15.90000   0.00000   4.08634
  77.90000   3.72000  25.06700  40.53800   0.00000   4.09917
  78.00000   3.70000  27.90000  14.50000   0.00000   4.11203
  78.03201   3.70000  25.04100  25.86000   0.00000   4.11616
  78.10000   3.70000  18.96700  50.00000   0.00000   4.12494
  78.20000   3.70000  16.75000  34.00000   0.00000   4.13790
  78.30000   3.70000  20.70000  18.20000   0.00000   4.15089
  78.40000   3.70000  23.96700 224.35699   0.00000   4.16392
  78.50000   3.70000  24.30000 125.00000   0.00000   4.17699
  78.60000   3.71300  26.80000  45.50000   0.00000   4.19010
  78.64700   3.71800  20.05000  28.18300   0.00000   4.19628
  78.70000   3.72500  22.70000  10.50000   0.00000   4.20326
  78.77100   3.73400  25.28700   7.71600   0.00000   4.21262
  78.80000   3.73700  24.20000   9.03800   0.00000   4.21646
  78.90000   3.75000  26.80000  13.60000   0.00000   4.22969
  79.00000   3.76200  28.30000  25.58300   0.00000   4.24297
  79.01501   3.76400  27.48100  21.60000   0.00000   4.24497
  79.10000   3.77500  22.83800  58.10000   0.00000   4.25629
  79.20000  14.03000  25.46400 100.00000   0.00000   4.26966
  79.30000  32.64300  25.67700  29.50000   0.00000   4.28306
  79.40000   2.80000  33.06200  25.00000   0.00000   4.29651
  79.50000   2.91600  23.10000  54.50000   0.00000   4.31000
  79.60000   3.03200  21.90000  13.10000   0.00000   4.32353
  79.70000   3.14800  27.60600   8.00000   0.00000   4.33710
  79.80000   3.26400  28.00000   8.00000   0.00000   4.35072
  79.90000   3.38000  35.15700   8.00000   0.00000   4.36438
  80.00000   3.49600  36.80000   8.00000   0.00000   4.37808
  80.10000   3.61200  30.80000  40.00000   0.00000   4.39182
  80.20000   3.72800  30.00000  40.00000   0.00000   4.40561
  80.30000   3.84400  30.55500   1.00000   0.00000   4.41944
  80.40000   3.96000  33.21900   6.70000   0.00000   4.43332
  80.50000   7.20000  47.65700  10.90000   0.00000   4.44724
  80.60000   3.64000  39.05800  18.00000   0.00000   4.46120
  80.70000   2.05700  27.90000  46.70000   0.00000   4.47520
  80.80000   2.12900  34.98300   6.70000   0.00000   4.48925
  80.90000   2.20200  26.14500  33.30000   0.00000   4.50335
  81.00000   2.27400  31.45600   8.00000   0.00000   4.51749
  81.10000  32.62300  44.53600   1.00000   0.00000   4.53167
  81.20000   3.67000  47.68500   4.70000   0.00000   4.54590
  81.30000   2.37800  31.73300  33.40000   0.00000   4.56017
  81.40000   3.19400  30.90000  80.00000   0.00000   4.57448
  81.50000   4.01100  19.76500  10.70000   0.00000   4.58885
  81.60000   4.82700  31.41700  14.00000   0.00000   4.60325
  81.70000   4.14000  43.06900  40.00000   0.00000   4.61771
  81.80000   2.59000  25.16000  66.00000   0.00000   4.63220
  81.90000   1.68500  25.85000  92.00000   0.00000   4.64675
  82.00000   1.95400  29.52000   3.00000   0.00000   4.66133
  82.10000   2.22300  19.12000  26.70000   0.00000   4.67597
  82.20000   2.49200  20.53200   3.00000   0.00000   4.69065
  82.30000   2.76200  27.00500   3.00000   0.00000   4.70538
  82.40000   3.03100  17.36600   3.00000   0.00000   4.72015
  82.50000   3.30000  23.17500  13.30000   0.00000   4.73497
  82.60000   3.30000  29.00000  33.30000   0.00000   4.74983
  82.70000   3.30000  11.98000  13.30000   0.00000   4.76474
  82.80000   3.30000  11.86000   3.00000   0.00000   4.77970
  82.90000   3.30000  18.51800   3.00000   0.00000   4.79471
  83.00000   3.30000  21.05000   3.00000   0.00000   4.80976
  83.10000   3.30000  10.80000   3.00000   0.00000   4.82486
  83.20000   3.30000  25.40000   3.00000   0.00000   4.84001
  83.30000   3.30000  25.73100   3.00000   0.00000   4.85521
  83.40000   3.30000  11.79300  13.30000   0.00000   4.87045
  83.42001   3.30000  10.50000  13.30000   0.00000   4.87350
  83.50000   3.30000  10.35600  83.30000   0.00000   4.88574
  83.60000   3.30000  14.73300   3.00000   0.00000   4.90108
  83.70000   3.30000  14.34700   3.00000   0.00000   4.91647
  83.80000   3.30000  14.52500  13.30000   0.00000   4.93190
  83.90000   3.30000  24.15000  60.00000   0.00000   4.94738
  84.00000   3.30000  19.89000   3.00000   0.00000   4.96292
  84.10000   3.29000  14.32300  26.70000   0.00000   4.97850
  84.20000   3.28000   8.75700  96.70000   0.00000   4.99413
  84.30000   3.27000  10.37100   6.70000   0.00000   5.00981
  84.40000   3.26000  11.72500   1.00000   0.00000   5.02553
  84.50000   3.25000  12.64600  13.30000   0.00000   5.04131
  84.60000   3.24000  17.94100   1.00000   0.00000   5.05714
  84.70000   3.23000  11.35300   1.00000   0.00000   5.07302
  84.80000   3.22000   7.57800   1.00000   0.00000   5.08894
  84.90000   3.21000   7.51400   1.00000   0.00000   5.10492
  85.00000   3.20000   8.71400  46.70000   0.00000   5.12095
  85.10000   3.18000   9.33300  13.30000   0.00000   5.13702
  85.20000   3.16000   9.17100   3.00000   0.00000   5.15315
  85.30000   3.14000  12.02900   3.00000   0.00000   5.16933
  85.40000   3.12000  10.15600  66.70000   0.00000   5.18556
  85.50000   3.10000   7.10000  20.00000   0.00000   5.20184
  85.60000   3.10000   8.36100   3.00000   0.00000   5.21817
  85.70000   3.10000   9.62200   8.70000   0.00000   5.23455
  85.80000   3.10000   8.78400  13.30000   0.00000   5.25099
  85.90000   3.10000   7.04700   3.00000   0.00000   5.26747
  86.00000   3.10000   7.01100   3.00000   0.00000   5.28401
  86.10000   3.10000   7.40000   6.00000   0.00000   5.30060
  86.20000   3.10000   7.92800   1.00000   0.00000   5.31724
  86.30000   3.10000   8.45600   1.00000   0.00000   5.33393
  86.40000   3.10000   8.98300   6.00000   0.00000   5.35068
  86.50000   3.10000   8.80700   1.00000   0.00000   5.36748
  86.60000   3.10000   7.57300   3.00000   0.00000   5.38433
  86.70000   3.10000   6.34000  65.00000   0.00000   5.40124
  86.80000   3.10000   6.03300  14.00000   0.00000   5.41819
  86.90000   3.10000   7.11700  10.00000   0.00000   5.43520
  87.00000   3.10000   8.20000   3.00000   0.00000   5.45226
  87.10000   3.93600   9.48600  25.00000   0.00000   5.46938
  87.20000   4.77100   9.30500  80.00000   0.00000   5.48656
  87.30000   5.60700   8.14700  12.00000   0.00000   5.50378
  87.40000   6.44200   6.98900   6.00000   0.00000   5.52106
  87.50000   7.27800   5.83200   3.00000   0.00000   5.53839
  87.60000   8.11300   7.75200 107.00000   0.00000   5.55578
  87.70000   8.94900  10.44100  30.00000   0.00000   5.57322
  87.80000  10.40000  13.13100  22.00000   0.00000   5.59072
  87.90000  47.27600  11.91200  12.00000   0.00000   5.60827
  88.00000   5.11000  10.25800   3.00000   0.00000   5.62588
  88.10000   4.65800   8.60400 110.00000   0.00000   5.64354
  88.20000   4.20600   6.95000  51.00000   0.00000   5.66126
  88.30000   3.75400   5.29600  27.00000   0.00000   5.67903
  88.40000   3.30200   8.46800   1.00000   0.00000   5.69686
  88.50000   2.85000  13.70800   1.00000   0.00000   5.71475
  88.60000   2.82000  17.10600   9.00000   0.00000   5.73269
  88.70000   2.79000  13.13600  70.00000   0.00000   5.75069
  88.80000   2.76000   9.16700  30.00000   0.00000   5.76874
  88.90000   2.73000   5.19700  20.00000   0.00000   5.78685
  89.00000   2.70000   7.50000  12.00000   0.00000   5.80502
  89.10000   2.71000  10.50000  67.00000   0.00000   5.82324
  89.20000   2.72000   8.46000  15.00000   0.00000   5.84153
  89.30000   2.73000   5.86000   1.00000   0.00000   5.85987
  89.40000   2.74000  11.20000  10.00000   0.00000   5.87826
  89.50000   2.75000   8.08900   3.00000   0.00000   5.89672
  89.60000   2.77000   5.84000   3.00000   0.00000   5.91523
  89.70000   2.79000   7.04000  11.00000   0.00000   5.93380
  89.80000   2.81000   6.10000   1.00000   0.00000   5.95243
  89.90000   2.83000   5.62000   6.00000   0.00000   5.97112
  90.00000   2.85000   8.35300  12.00000   0.00000   5.98986
  90.10000   2.83000  12.90000   3.00000   0.00000   6.00867
  90.20000   2.81000   9.70000   6.00000   0.00000   6.02754
  90.30000   2.79000  10.31100  10.00000   0.00000   6.04646
  90.40000   2.77000  10.28500   8.00000   0.00000   6.06544
  90.41000   2.76800  10.02700   9.20000   0.00000   6.06734
  90.50000   2.75000   7.70800  12.00000   0.00000   6.08448
  90.60000   2.75000   5.13100   3.00000   0.00000   6.10358
  90.70000   2.75000   6.53700   1.00000   0.00000   6.12275
  90.80000   2.68500  10.60000  15.00000   0.00000   6.14197
  90.90000   2.55400  14.66300   9.00000   0.00000   6.16125
  91.00000   1.15000  15.20000   3.00000   0.00000   6.18060
  91.10000   0.49400  15.23200  14.00000   0.00000   6.20000
  91.20000   0.14000  10.69600   1.00000   0.00000   0.00249
  91.30000   0.00000   6.16100  82.00000   0.00000   0.00000
  91.39900   0.00000   6.08140  15.40040   0.00000   0.00000
  91.40000   0.00000   6.10000  15.00000   0.00000   0.00000
  91.49900   0.00000   6.33670   3.00000   0.00000   0.00000
  91.50000   0.00000   6.30000   3.00000   0.00000   0.00000
  91.59900   0.00000   8.80430   1.00000   0.00000   0.00000
  91.60000   0.00000   8.92500   1.00000   0.00000   0.00000
  91.69900   0.00000  20.86630   1.82080   0.00000   0.00000
  91.70000   0.00000  20.98700   1.00000   0.00000   0.00000
  91.80000   0.00000  18.30000   6.00000   0.00000   0.00000
  91.89900   0.00000  11.98880   3.00000   0.00000   0.00000
  91.90000   0.00000  11.92500   3.00000   0.00000   0.00000
  92.00000   0.00000   5.55000  97.50000   0.00000   0.00000
  92.09600   0.00000   4.39000  27.64000   0.00000   0.00000
  92.10000   0.00000   4.48900  27.00000   0.00000   0.00000
  92.20000   0.00000   6.97000  11.00000   0.00000   0.00000
  92.30000   0.00000   9.45200  17.00000   0.00000   0.00000
  92.31500   0.00000   9.60000  17.45000   0.00000   0.00000
  92.40000   0.00000  16.15000  20.00000   0.00000   0.00000
  92.50000   0.00000  18.21600  22.00000   0.00000   0.00000
  92.60000   0.00000   7.84800  14.00000   0.00000   0.00000
  92.62000   0.00000   5.77400   9.60000   0.00000   0.00000
  92.70000   0.00000   3.90000  18.00000   0.00000   0.00000
  92.80000   0.00000   3.46000  10.00000   0.00000   0.00000
  92.90000   0.00000   4.02000   2.00000   0.00000   0.00000
  93.00000   0.00000   3.70000  29.00000   0.00000   0.00000
  93.07500   0.00000  23.71600   4.50000   0.00000   0.00000
  93.10000   0.00000  19.91100   6.00000   0.00000   0.00000
  93.20000   0.00000  21.35500  21.00000   0.00000   0.00000
  93.30000   0.00000  23.76300   7.00000   0.00000   0.00000
  93.33801   0.00000  20.69900   4.72000   0.00000   0.00000
  93.40000   0.00000  15.70000  10.00000   0.00000   0.00000
  93.50000   0.00000   7.63700   5.00000   0.00000   0.00000
  93.60000   0.00000   7.36200   6.00000   0.00000   0.00000
  93.70000   0.00000  18.76800   1.00000   0.00000   0.00000
  93.78000   0.00000  27.89200  20.49900   0.00000   0.00000
  93.80000   0.00000  30.17300   1.00000   0.00000   0.00000
  93.90000   0.00000  41.57900 148.00000   0.00000   0.00000
  94.00000   0.00000  39.40000  27.00000   0.00000   0.00000
  94.10000   0.00000  31.40000  18.00000   0.00000   0.00000
  94.20000   0.00000  23.40000  22.00000   0.00000   0.00000
  94.30000   0.00000  15.40000  27.00000   0.00000   0.00000
  94.40000   0.00000   7.40000  11.00000   0.00000   0.00000
  94.45200   0.00000   3.24000  10.60000   0.00000   0.00000
  94.50000   0.00000   9.51600   1.00000   0.00000   0.00000
  94.60000   0.00000  26.80700   1.00000   0.00000   0.00000
  94.70000   0.00000  44.09700   3.00000   0.00000   0.00000
  94.80000   0.00000  49.96900   3.00000   0.00000   0.00000
  94.90000   0.00000  29.20000   1.00000   0.00000   0.00000
  94.97400   0.00000  13.83100  13.48000   0.00000   0.00000
  95.00000   0.00000   8.43100   1.00000   0.00000   0.00000
  95.10000   0.00000   8.76300   2.00000   0.00000   0.00000
  95.20000   0.00000  18.13800   2.00000   0.00000   0.00000
  95.30000   0.00000  27.51200  12.00000   0.00000   0.00000
  95.40000   0.00000  36.88700   3.00000   0.00000   0.00000
  95.50000   0.00000  46.26200   6.00000   0.00000   0.00000
  95.60000   0.00000  51.48800  20.00000   0.00000   0.00000
  95.70000   0.00000  35.30000   3.00000   0.00000   0.00000
  95.80000   0.00000  24.36700  18.00000   0.00000   0.00000
  95.90000   0.00000  13.43300  47.00000   0.00000   0.00000
  96.00000   0.00000   2.50000   1.00000   0.00000   0.00000
  96.10000   0.00000   9.39500  51.00000   0.00000   0.00000
  96.20000   0.00000  14.61100  18.00000   0.00000   0.00000
  96.30000   0.00000   9.98200   3.00000   0.00000   0.00000
  96.40000   0.00000  26.38900   3.00000   0.00000   0.00000
  96.50000   0.00000  42.79600   3.00000   0.00000   0.00000
  96.60000   0.00000  46.04100  67.00000   0.00000   0.00000
  96.70000   0.00000  36.12300  31.00000   0.00000   0.00000
  96.80000   0.00000  26.20400  27.00000   0.00000   0.00000
  96.90000   0.00000  16.28600  10.00000   0.00000   0.00000
  97.00000   0.00000   6.36800   6.00000   0.00000   0.00000
  97.10000   0.00000  10.74300   1.00000   0.00000   0.00000
  97.20000   0.00000  24.64800  27.00000   0.00000   0.00000
  97.25400   0.00000  32.71900 117.44100   0.00000   0.00000
  97.30000   0.00000  40.47600  88.00000   0.00000   0.00000
  97.40000   0.00000  17.22500  20.00000   0.00000   0.00000
  97.50000   0.00000  18.85000   5.00000   0.00000   0.00000
  97.60000   0.00000  23.51500   3.00000   0.00000   0.00000
  97.70000   0.00000  18.82300   2.00000   0.00000   0.00000
  97.70200   0.00000  18.72900   2.24000   0.00000   0.00000
  97.80000   0.00000  14.13100   5.00000   0.00000   0.00000
  97.90000   0.00000   9.43800  88.00000   0.00000   0.00000
  98.00000   0.00000   4.74600  27.00000   0.00000   0.00000
  98.10000   0.00000  10.20400  26.00000   0.00000   0.00000
  98.20000   0.00000  25.81100  14.00000   0.00000   0.00000
  98.30000   0.00000  41.41800  23.00000   0.00000   0.00000
  98.40000   0.00000  30.88400  17.00000   0.00000   0.00000
  98.50000   0.00000   9.14800  15.00000   0.00000   0.00000
  98.60000   0.00000   7.19100  25.00000   0.00000   0.00000
  98.70000   0.00000   5.09500   0.00000   0.00000   0.00000
  98.80000   0.00000   3.00000   0.00000   0.00000   0.00000
  98.90000   0.00000   3.30000   0.00000   0.00000   0.00000
  98.97900   0.00000   2.76100   0.00000   0.00000   0.00000
  99.00000   0.00000   4.15500   0.00000   0.00000   0.00000
  99.10000   0.00000  10.79100   0.00000   0.00000   0.00000
  99.15500   0.00000  14.44100   0.00000   0.00000   0.00000
  99.20000   0.00000  17.42700   0.00000   0.00000   0.00000
  99.30000   0.00000  22.80000   0.00000   0.00000   0.00000
  99.40000   0.00000  21.38500   0.00000   0.00000   0.00000
  99.50000   0.00000  15.15500   0.00000   0.00000   0.00000
  99.60000   0.00000   8.92600   0.00000   0.00000   0.00000
  99.70000   0.00000   2.69600   0.00000   0.00000   0.00000
  99.80000   0.00000   1.46100   0.00000   0.00000   0.00000
  99.90000   0.00000   1.47600   0.00000   0.00000   0.00000
 100.00000   0.00000   1.49000   0.00000   0.00000   0.00000
 100.10000   0.00000   2.69300   0.00000   0.00000   0.00000
 100.20000   0.00000   3.89500   0.00000   0.00000   0.00000
 100.30000   0.00000   5.09800   0.00000   0.00000   0.00000
 100.40000   0.00000   6.30000   0.00000   0.00000   0.00000
 100.50000   0.00000   5.40500   0.00000   0.00000   0.00000
 100.60000   0.00000   3.16900   0.00000   0.00000   0.00000
 100.70000   0.00000   1.46000   0.00000   0.00000   0.00000
 100.80000   0.00000   1.78600   0.00000   0.00000   0.00000
 100.90000   0.00000   1.44400   0.00000   0.00000   0.00000
 101.00000   0.00000   1.45400   0.00000   0.00000   0.00000
 101.02000   0.00000   1.43200   0.00000   0.00000   0.00000
 101.10000   0.00000   1.34400   0.00000   0.00000   0.00000
 101.20000   0.00000   1.15300   0.00000   0.00000   0.00000
 101.30000   0.00000   1.23200   0.00000   0.00000   0.00000
 101.40000   0.00000   1.15300   0.00000   0.00000   0.00000
 101.50000   0.00000   1.48500   0.00000   0.00000   0.00000
 101.60000   0.00000   1.19000   0.00000   0.00000   0.00000
 101.70000   0.00000   1.25300   0.00000   0.00000   0.00000
 101.80000   0.00000   1.19000   0.00000   0.00000   0.00000
 101.90000   0.00000   1.19000   0.00000   0.00000   0.00000
 102.00000   0.00000   1.27800   0.00000   0.00000   0.00000
 102.10000   0.00000   1.40000   0.00000   0.00000   0.00000
 102.20000   0.00000   1.47000   0.00000   0.00000   0.00000
 102.30000   0.00000   1.63600   0.00000   0.00000   0.00000
 102.40000   0.00000   1.43000   0.00000   0.00000   0.00000
 102.50000   0.00000   1.45100   0.00000   0.00000   0.00000
 102.57200   0.00000   1.63200   0.00000   0.00000   0.00000
 102.60000   0.00000   1.51900   0.00000   0.00000   0.00000
 102.70000   0.00000   1.23000   0.00000   0.00000   0.00000
 107.50000   0.00000   1.00000   0.00000   0.00000   0.00000
 112.50000   0.00000   0.40000   0.00000   0.00000   0.00000
 117.50000   0.00000   1.40000   0.00000   0.00000   0.00000
 121.60000   0.00000   0.01000   0.00000   0.00000   0.00000
 122.50000   0.00000  13.00000   0.00000   0.00000   0.00000
 127.50000   0.00000   0.40000   0.00000   0.00000   0.00000
 132.50000   0.00000   2.20000   0.00000   0.00000   0.00000
 137.50000   0.00000  12.00000   0.00000   0.00000   0.00000
 142.50000   0.00000  15.00000   0.00000   0.00000   0.00000
 147.50000   0.00000  13.00000   0.00000   0.00000   0.00000
 152.50000   0.00000  10.00000   0.00000   0.00000   0.00000
 157.50000   0.00000   6.00000   0.00000   0.00000   0.00000
 162.50000   0.00000   3.40000   0.00000   0.00000   0.00000
 167.50000   0.00000   1.50000   0.00000   0.00000   0.00000
 172.50000   0.00000   0.50000   0.00000   0.00000   0.00000
 200.00000   0.00000   0.00000   0.00000   0.00000   0.00000
