     nm       O         O2        N2        He        H
   8.69800   0.92800   1.63500   0.89200   0.13071   0.01307
   8.73000   0.93500   1.65100   0.90200   0.13224   0.01322
   8.76100   0.94100   1.66600   0.91200   0.13374   0.01337
   8.80900   0.95180   1.68950   0.92670   0.13610   0.01361
   8.81100   0.95200   1.69000   0.92700   0.13620   0.01362
   8.81400   0.95300   1.69200   0.92800   0.13635   0.01364
   8.84200   0.95900   1.70500   0.93700   0.13775   0.01377
   8.86400   0.96400   1.71600   0.94300   0.13886   0.01389
   8.89000   0.97100   1.72800   0.95100   0.14018   0.01402
   8.91400   0.97700   1.74000   0.95900   0.14141   0.01414
   8.97000   0.99200   1.76700   0.97600   0.14432   0.01443
   9.01400   1.00400   1.78900   0.99000   0.14665   0.01467
   9.04500   1.01200   1.80400   0.99900   0.14832   0.01483
   9.07100   1.01900   1.81600   1.00700   0.14973   0.01497
   9.10000   1.02600   1.83100   1.01600   0.15132   0.01513
   9.14800   1.03900   1.85400   1.03100   0.15398   0.01540
   9.16900   1.04500   1.86400   1.03700   0.15517   0.01552
   9.18100   1.04800   1.87000   1.04100   0.15585   0.01558
   9.20900   1.05500   1.88400   1.05000   0.15744   0.01574
   9.28100   1.07400   1.91900   1.07200   0.16163   0.01616
   9.36100   1.09600   1.95700   1.09700   0.16640   0.01664
   9.40700   1.10800   1.98000   1.11100   0.16921   0.01692
   9.42500   1.11300   1.98900   1.11600   0.17033   0.01703
   9.43900   1.11600   1.99500   1.12100   0.17120   0.01712
   9.49000   1.13000   2.02000   1.13600   0.17441   0.01744
   9.53700   1.14200   2.04300   1.15100   0.17742   0.01774
   9.55100   1.14600   2.05000   1.15500   0.17832   0.01783
   9.58100   1.15300   2.06400   1.16400   0.18028   0.01803
   9.60500   1.15900   2.07600   1.17200   0.18187   0.01819
   9.64900   1.17000   2.09700   1.18500   0.18480   0.01848
   9.68300   1.17800   2.11400   1.19600   0.18711   0.01871
   9.71200   1.18500   2.12800   1.20500   0.18909   0.01891
   9.75100   1.19400   2.14700   1.21700   0.19180   0.01918
   9.78700   1.20300   2.16400   1.22800   0.19433   0.01943
   9.81200   1.20900   2.17700   1.23500   0.19610   0.01961
   9.82600   1.21270   2.18340   1.23990   0.19711   0.01971
   9.85000   1.21800   2.19500   1.24700   0.19884   0.01988
   9.97100   1.24800   2.25400   1.28400   0.20779   0.02078
   9.99900   1.25400   2.26700   1.29300   0.20992   0.02099
  10.05400   1.26800   2.29400   1.31000   0.21199   0.02120
  10.30100   1.32700   2.41400   1.38600   0.22131   0.02213
  10.31500   1.33100   2.42100   1.39000   0.22185   0.02219
  10.35800   1.34200   2.44200   1.40400   0.22352   0.02235
  10.39400   1.35100   2.45900   1.41500   0.22493   0.02249
  10.52300   1.38400   2.52200   1.45400   0.23004   0.02300
  10.62500   1.41000   2.57200   1.48600   0.23417   0.02342
  10.80500   1.45700   2.65900   1.54100   0.24163   0.02416
  10.99800   1.50600   2.75300   1.60100   0.24990   0.02499
  11.05600   1.52100   2.78100   1.61900   0.25244   0.02524
  11.06200   1.52300   2.78400   1.62000   0.25270   0.02527
  11.07600   1.52600   2.79100   1.62500   0.25332   0.02533
  11.11600   1.53700   2.81000   1.63700   0.25509   0.02551
  11.12500   1.53900   2.81500   1.64000   0.25549   0.02555
  11.38000   1.60300   2.93900   1.71800   0.26710   0.02671
  11.40900   1.61100   2.95300   1.72700   0.26846   0.02685
  11.42400   1.61400   2.96000   1.73200   0.26916   0.02692
  11.53900   1.64300   3.01600   1.76700   0.27461   0.02746
  11.58200   1.65400   3.03700   1.78100   0.27668   0.02767
  11.67500   1.67700   3.08200   1.81800   0.28120   0.02812
  11.72000   1.68800   3.10400   1.83700   0.28341   0.02834
  12.04000   1.76700   3.26800   1.96600   0.29967   0.02997
  12.11500   1.78600   3.32200   1.99600   0.30361   0.03036
  12.17900   1.80100   3.36700   2.02200   0.30702   0.03070
  12.27000   1.82400   3.43200   2.05800   0.31192   0.03119
  12.35000   1.84300   3.48900   2.09000   0.31630   0.03163
  12.76500   1.96900   3.78300   2.26700   0.34003   0.03400
  12.98700   2.03800   3.94100   2.36400   0.35345   0.03534
  13.03000   2.05200   3.97100   2.38100   0.35611   0.03561
  13.10200   2.07400   4.02100   2.40900   0.36060   0.03606
  13.12100   2.08000   4.03500   2.41600   0.36180   0.03618
  13.62100   2.23300   4.38500   2.61100   0.39474   0.03947
  13.62800   2.23500   4.39000   2.61400   0.39523   0.03952
  13.63400   2.23700   4.39400   2.61600   0.39564   0.03956
  13.64500   2.24000   4.40100   2.62100   0.39640   0.03964
  13.64800   2.24100   4.40400   2.62200   0.39661   0.03966
  14.12000   2.26000   4.73000   2.82000   0.43061   0.04306
  14.42700   2.24200   4.93600   2.94900   0.45428   0.04543
  14.50400   2.23700   4.98800   2.98200   0.46042   0.04604
  14.84000   2.21700   5.21300   3.13600   0.48819   0.04882
  15.01000   2.20600   5.32700   3.21500   0.50287   0.05029
  15.21500   2.19400   5.47300   3.31700   0.52116   0.05212
  15.41800   2.18200   5.61700   3.41900   0.53993   0.05399
  15.77300   2.36300   5.86900   3.59600   0.57440   0.05744
  15.83700   2.40700   5.91400   3.62800   0.58084   0.05808
  15.99800   2.51600   6.02900   3.70900   0.59737   0.05974
  16.03700   2.54200   6.05500   3.72900   0.60145   0.06014
  16.20000   2.65210   6.16420   3.81400   0.61878   0.06188
  16.41500   2.79700   6.30800   3.92600   0.64241   0.06424
  16.75000   3.02100   6.53200   4.10500   0.68103   0.06810
  16.81700   3.06600   6.57700   4.14100   0.68903   0.06890
  16.85500   3.09100   6.60300   4.16200   0.69361   0.06936
  16.89200   3.11600   6.62800   4.18200   0.69810   0.06981
  16.97000   3.16800   6.68000   4.22400   0.70766   0.07077
  17.10800   3.25900   6.76800   4.29800   0.72488   0.07249
  17.21700   3.33100   6.83700   4.35700   0.73879   0.07388
  17.30800   3.39100   6.89400   4.40600   0.75060   0.07506
  17.45800   3.49000   6.98900   4.48700   0.77048   0.07705
  17.52600   3.53500   7.03100   4.52600   0.77967   0.07797
  17.72400   3.66000   7.15600   4.64400   0.80704   0.08070
  17.80500   3.68700   7.20700   4.69300   0.81852   0.08185
  17.92700   3.72800   7.28400   4.76600   0.83611   0.08361
  17.97500   3.74500   7.31400   4.79500   0.84313   0.08431
  18.04100   3.76700   7.36400   4.83900   0.85289   0.08529
  18.11400   3.79100   7.42300   4.89000   0.86381   0.08638
  18.21700   3.82600   7.50800   4.96200   0.87946   0.08795
  18.34500   3.86900   7.61300   5.05100   0.89930   0.08993
  18.45300   3.90500   7.70100   5.12700   0.91639   0.09164
  18.48000   3.91400   7.72400   5.14600   0.92071   0.09207
  18.52100   3.92700   7.75700   5.17400   0.92731   0.09273
  18.66000   3.97300   7.87100   5.26900   0.95005   0.09501
  18.68700   3.98200   7.89300   5.28700   0.95454   0.09545
  18.79500   4.01800   7.98200   5.36100   0.97267   0.09727
  18.82300   4.02800   8.00500   5.38000   0.97743   0.09774
  18.83100   4.03000   8.01100   5.38500   0.97880   0.09788
  19.00200   4.08700   8.15100   5.50100   1.00841   0.10084
  19.10400   4.12000   8.22400   5.56900   1.02650   0.10265
  19.13400   4.13000   8.24500   5.58800   1.03188   0.10319
  19.24000   4.16500   8.32000   5.65800   1.05112   0.10511
  19.28200   4.17900   8.35000   5.68600   1.05884   0.10588
  19.35200   4.20200   8.40000   5.73200   1.07184   0.10718
  19.51300   4.25500   8.51400   5.84000   1.10234   0.11023
  19.65200   4.30000   8.61300   5.94200   1.12938   0.11294
  19.66500   4.30500   8.62200   5.95200   1.13194   0.11319
  19.74400   4.33000   8.67800   6.01100   1.14763   0.11476
  19.85800   4.36800   8.75900   6.09500   1.17066   0.11707
  20.00200   4.41400   8.86100   6.20200   1.20021   0.12002
  20.11300   4.45100   8.94000   6.28600   1.21203   0.12125
  20.20500   4.48000   9.00600   6.35600   1.22190   0.12228
  20.26400   4.49900   9.04700   6.40100   1.22828   0.12294
  20.38100   4.53700   9.13100   6.49000   1.24103   0.12426
  20.42500   4.55100   9.16200   6.52300   1.24586   0.12477
  20.49400   4.57400   9.21100   6.57500   1.25347   0.12556
  20.62600   4.61600   9.30400   6.68300   1.26815   0.12708
  20.63800   4.62000   9.31300   6.69300   1.26949   0.12722
  20.74600   4.65200   9.39000   6.78200   1.28165   0.12849
  20.83300   4.67800   9.45100   6.85300   1.29153   0.12952
  20.96300   4.71600   9.54400   6.96000   1.30643   0.13107
  20.97800   4.72000   9.55400   6.97200   1.30816   0.13125
  21.13200   4.76500   9.66600   7.09800   1.32605   0.13312
  21.21400   4.78900   9.72600   7.16500   1.33568   0.13412
  21.37800   4.83600   9.84600   7.30000   1.35515   0.13615
  21.47500   4.86400   9.91700   7.37900   1.36680   0.13737
  21.51600   4.87600   9.94700   7.41400   1.37176   0.13788
  21.68800   4.92500  10.07200   7.56900   1.39273   0.14007
  21.81900   4.96300  10.16800   7.68700   1.40893   0.14176
  21.91300   4.99000  10.23600   7.77200   1.42066   0.14299
  22.00800   5.01700  10.30600   7.85700   1.43262   0.14424
  22.14400   5.05600  10.41500   7.97400   1.44992   0.14605
  22.18200   5.06700  10.44600   8.00700   1.45479   0.14656
  22.47400   5.14900  10.67900   8.25800   1.49276   0.15053
  22.51200   5.16000  10.71000   8.29000   1.49777   0.15106
  22.70100   5.21300  10.86100   8.45300   1.52296   0.15370
  22.71900   5.21800  10.87500   8.46800   1.52538   0.15395
  22.74700   5.22600  10.89800   8.49200   1.52915   0.15435
  22.87000   5.26100  10.99600   8.59800   1.54584   0.15610
  23.06500   5.31500  11.15200   8.76300   1.57267   0.15891
  23.15500   5.34000  11.22400   8.83700   1.58521   0.16023
  23.26000   5.36900  11.30800   8.92300   1.59996   0.16177
  23.38400   5.40400  11.40700   9.02500   1.61757   0.16362
  23.43800   5.41900  11.45000   9.06900   1.62529   0.16443
  23.71200   5.49420  11.66920   9.28110   1.66507   0.16862
  23.72000   5.49640  11.67560   9.28710   1.66624   0.16874
  23.73300   5.50000  11.68600   9.29700   1.66815   0.16894
  23.98700   5.57000  11.89000   9.49000   1.70596   0.17292
  24.07100   5.59300  11.96400   9.54300   1.71866   0.17425
  24.17400   5.62100  12.05700   9.60400   1.73435   0.17591
  24.30300   5.65600  12.17300   9.68200   1.75420   0.17800
  24.37800   5.67590  12.23990   9.72720   1.76585   0.17923
  24.49200   5.70700  12.34300   9.79500   1.78370   0.18111
  24.59400   5.73500  12.43500   9.84100   1.79983   0.18281
  24.62100   5.74220  12.45930   9.85360   1.80412   0.18326
  24.69100   5.76100  12.52200   9.88400   1.81530   0.18444
  24.71800   5.76800  12.54600   9.89600   1.81963   0.18490
  24.91800   5.81200  12.72600   9.98400   1.85203   0.18832
  25.11000   5.88100  12.89900  10.05500   1.88367   0.19166
  25.19500   5.91200  12.97600  10.08200   1.89785   0.19316
  25.21900   5.92100  12.99700  10.09000   1.90188   0.19358
  25.37800   5.97800  13.14000  10.14100   1.92875   0.19642
  25.63200   6.05100  13.36900  10.20600   1.97246   0.20105
  25.63800   6.05300  13.37400  10.20800   1.97351   0.20116
  25.66400   6.06000  13.39800  10.21300   1.97804   0.20164
  25.69200   6.06740  13.42260  10.21840   1.98293   0.20216
  25.71600   6.07400  13.44400  10.22300   1.98714   0.20260
  25.73900   6.08000  13.46500  10.22800   1.99118   0.20303
  25.83600   6.10600  13.55200  10.24700   2.00829   0.20484
  25.95200   6.13700  13.65700  10.27000   2.02895   0.20703
  26.10500   6.18700  13.80500  10.30500   2.05653   0.20995
  26.29900   6.25500  13.99900  10.35200   2.09204   0.21372
  26.42400   6.29800  14.12400  10.38200   2.11524   0.21618
  26.48000   6.31800  14.18000  10.39500   2.12572   0.21729
  27.05100   6.51800  14.74100  10.51100   2.23557   0.22896
  27.19900   6.57000  14.85900  10.54400   2.26495   0.23209
  27.26400   6.59200  14.91100  10.55800   2.27798   0.23348
  27.41900   6.64700  15.03500  10.59200   2.30935   0.23682
  27.53500   6.68700  15.12800  10.62200   2.33311   0.23935
  27.56700   6.69800  15.15400  10.63300   2.33971   0.24005
  27.61500   6.71500  15.19200  10.64900   2.34964   0.24111
  27.68400   6.73900  15.24700  10.67300   2.36399   0.24264
  27.70000   6.74500  15.26000  10.67800   2.36733   0.24299
  27.72700   6.75400  15.28200  10.68700   2.37297   0.24360
  27.84000   6.79400  15.37200  10.72600   2.39675   0.24613
  28.14100   6.92800  15.59900  10.81900   2.46126   0.25301
  28.41500   7.07800  15.79000  10.89600   2.52149   0.25945
  28.57000   7.16400  15.89900  10.94500   2.55622   0.26316
  28.91700   7.35400  16.14200  11.07000   2.63570   0.27166
  29.06900   7.41000  16.23500  11.12300   2.67129   0.27547
  29.17000   7.42600  16.28500  11.15800   2.69520   0.27803
  29.27800   7.44200  16.33900  11.19500   2.72101   0.28080
  29.61900   7.49300  16.51000  11.32500   2.80413   0.28971
  29.95000   7.54300  16.67500  11.47700   2.88723   0.29863
  30.33100   7.68100  16.79900  11.67400   2.95846   0.30696
  30.37800   7.69900  16.81300  11.69900   2.96686   0.30796
  31.50200   8.07600  17.10000  12.37100   3.17491   0.33292
  31.62000   8.11700  17.12400  12.45600   3.19759   0.33565
  31.90100   8.21500  17.18000  12.65900   3.25223   0.34225
  31.98300   8.24400  17.19700  12.71800   3.26835   0.34420
  32.05600   8.27000  17.20600  12.77500   3.28277   0.34595
  33.54100   8.77300  17.40800  13.98500   3.59029   0.38346
  34.51300   9.08900  17.65400  14.83200   3.80701   0.41018
  34.57400   9.10900  17.67200  14.88800   3.82103   0.41192
  34.73900   9.16400  17.72200  15.04000   3.85924   0.41666
  34.98500   9.24500  17.79500  15.26600   3.91691   0.42382
  35.60100   9.44200  17.92000  15.82100   4.06514   0.44231
  36.08000   9.59600  18.03200  16.25200   4.18427   0.45724
  36.44800   9.71800  18.17900  16.58300   4.27816   0.46906
  36.80700   9.83600  18.32300  16.90600   4.37178   0.48088
  39.98200  11.77700  19.59300  20.05200   5.29425   0.59925
  40.11400  11.70900  19.64600  20.17800   5.32536   0.60476
  40.19400  11.64500  19.67800  20.25400   5.34322   0.60812
  40.32600  11.53900  19.73000  20.38000   5.37283   0.61371
  41.72400  11.21000  20.21700  21.62100   5.69668   0.67616
  43.04700  11.49200  20.71400  22.66200   6.02111   0.74110
  43.67000  11.38500  20.90100  22.94800   6.18023   0.77380
  45.30000  10.76500  21.49000  23.08500   6.61670   0.86636
  45.40000  10.17600  21.52000  23.08000   6.64446   0.87238
  45.50000  12.75700  21.55000  23.07500   6.67233   0.87845
  45.60000  13.84500  21.58000  23.07000   6.70032   0.88456
  45.70000  12.61500  21.61000  23.06500   6.72843   0.89071
  45.80000  12.24400  21.64000  23.06000   6.75666   0.89691
  45.90000  11.87400  21.67000  23.05500   6.78501   0.90315
  46.00000  11.81700  21.70000  23.05000   6.81348   0.90943
  46.10000  11.83900  21.74000  23.07200   6.84206   0.91576
  46.20000  11.86000  21.78000  23.09400   6.87076   0.92213
  46.30000  11.88100  21.82000  23.11600   6.89959   0.92854
  46.40000  11.90300  21.86000  23.13800   6.92854   0.93500
  46.50000  11.92400  21.90000  23.16000   6.95760   0.94150
  46.52200  11.92900  21.90900  23.16500   6.96402   0.94294
  46.60000  11.94600  21.94000  23.18200   6.98679   0.94805
  46.70000  11.96700  21.98000  23.20400   7.01611   0.95464
  46.80000  11.98900  22.02000  23.22600   7.04554   0.96128
  46.90000  12.01000  22.06000  23.24800   7.07510   0.96797
  47.00000  12.03100  22.10000  23.27000   7.10478   0.97470
  47.10000  12.05300  22.15000  23.30300   7.13459   0.98148
  47.20000  12.07400  22.20000  23.33600   7.16452   0.98831
  47.30000  12.09600  22.25000  23.36900   7.19458   0.99518
  47.40000  11.96700  22.30000  23.40200   7.22476   1.00211
  47.50000  11.80000  22.35000  23.43500   7.25507   1.00908
  47.60000  11.46000  22.40000  23.46800   7.28551   1.01609
  47.70000  11.61400  22.45000  23.50100   7.31608   1.02316
  47.80000  12.13800  22.50000  23.53400   7.34677   1.03028
  47.90000  12.33300  22.55000  23.56700   7.37759   1.03744
  48.00000  12.20000  22.60000  23.60000   7.40855   1.04466
  48.10000  15.56700  22.64000  23.59000   7.43963   1.05193
  48.20000  13.50000  22.68000  23.58000   7.47084   1.05924
  48.30000  13.04300  22.72000  23.57000   7.50218   1.06661
  48.40000  12.95000  22.76000  23.56000   7.53366   1.07403
  48.50000  12.86100  22.80000  23.55000   7.56526   1.08150
  48.60000  12.72900  22.84000  23.54000   7.59700   1.08902
  48.70000  12.57400  22.88000  23.53000   7.62887   1.09660
  48.80000  12.38200  22.92000  23.52000   7.66088   1.10423
  48.90000  12.19100  22.96000  23.51000   7.69302   1.11191
  48.95000  12.09600  22.98000  23.50500   7.70914   1.11577
  49.00000  12.00000  23.00000  23.50000   7.72529   1.11964
  49.10000  12.15900  23.06000  23.50000   7.75771   1.12743
  49.20000  12.25700  23.12000  23.50000   7.79025   1.13527
  49.30000  12.21200  23.18000  23.50000   7.82293   1.14317
  49.40000  12.16700  23.24000  23.50000   7.85575   1.15112
  49.50000  12.12300  23.30000  23.50000   7.88871   1.15912
  49.60000  12.07800  23.36000  23.50000   7.92181   1.16719
  49.70000  12.03400  23.42000  23.50000   7.95504   1.17530
  49.80000  11.98900  23.48000  23.50000   7.98842   1.18348
  49.90000  11.94500  23.54000  23.50000   8.02193   1.19171
  49.93700  11.92800  23.56200  23.50000   8.03437   1.19477
  50.00000  11.90000  23.60000  23.50000   8.05559   1.20000
  50.10000  11.77300  23.64000  23.51600   8.08938   1.20590
  50.20000  11.77400  23.68000  23.53200   8.12332   1.21183
  50.30000  11.79000  23.72000  23.54800   8.15740   1.21779
  50.40000  11.80600  23.76000  23.56400   8.19162   1.22377
  50.79300  11.86700  23.91700  23.72600   8.32752   1.24759
  51.56000  11.95600  24.28000  24.25000   0.00111   1.29541
  52.06600  12.00700  24.52600  24.61200   0.00000   1.32796
  52.58000  12.05800  24.73200  24.86400   0.00000   1.36186
  53.70200  12.24000  25.25100  25.23100   0.00000   1.43889
  54.28000  12.35600  25.28100  25.13200   0.00000   1.48026
  55.00000  12.50000  25.90000  24.70000   0.00000   1.53346
  55.43700  12.58700  26.04100  24.13200   0.00000   1.56668
  55.86000  12.67200  26.10000  23.58200   0.00000   1.59952
  56.28000  12.75600  26.04400  23.14800   0.00000   1.63281
  56.85000  12.87000  25.86000  22.63500   0.00000   1.67910
  57.23000  12.92300  25.66200  22.47700   0.00000   1.71068
  58.04000  13.00800  24.60800  22.40000   0.00000   1.78000
  58.43300  13.08700  22.72200  22.40000   0.00000   1.81464
  59.24000  13.22400  20.80500  22.44300   0.00000   1.88790
  59.96000  13.29600  28.49100  22.57300   0.00000   1.95575
  60.97600  13.39800  28.07500  22.79500   0.00000   2.05567
  61.66000  13.40000  26.42800  22.99800   0.00000   2.12579
  62.49300  13.40000  26.05800  23.23800   0.00000   2.21443
  62.97300  13.40000  32.05600  23.37200   0.00000   2.26718
  63.85000  13.31500  26.16700  23.61800   0.00000   2.36682
  64.04100  13.28800  26.96500  23.67200   0.00000   2.38909
  64.09300  13.27200  27.47100  23.68700   0.00000   2.39519
  64.18100  13.24600  28.32800  23.71200   0.00000   2.40555
  64.41000  13.17700  21.28300  23.77900   0.00000   2.43272
  65.03000  12.98800  26.98700  23.95800   0.00000   2.50782
  65.73000  12.70800  27.44300  24.13200   0.00000   2.59541
  66.14001  12.44200  25.68600  25.74400   0.00000   2.64812
  67.15000  10.98400  20.85800  34.30000   0.00000   2.78259
  68.17001  14.01900  21.77100  55.30100   0.00000   2.92532
  68.57101  25.49000  20.11200  23.70000   0.00000   2.98342
  69.08000   9.47500  21.27500  23.10900   0.00000   3.05883
  69.43000   9.02000  21.27500  42.73800   0.00000   3.11179
  70.00000  12.04700  27.26700  23.80000   0.00000   3.20000
  70.10000   8.02500  31.00000  25.50000   0.00000   3.21005
  70.20000  13.58700  21.66700  30.10000   0.00000   3.22012
  70.30000  12.02200  28.33300  28.30000   0.00000   3.23023
  70.33600  11.45800  27.44000  26.53600   0.00000   3.23388
  70.40000  10.45600  34.75300  23.40000   0.00000   3.24038
  70.50000   9.60000  56.63600  25.79400   0.00000   3.25055
  70.60000   9.72000  42.57600  25.78300   0.00000   3.26075
  70.70000   9.82000  25.36200  25.77200   0.00000   3.27099
  70.80000   9.83700  26.33000  25.76100   0.00000   3.28126
  70.90000   9.73100  25.97500  25.75000   0.00000   3.29156
  71.00000   9.15000  29.39200  25.73900   0.00000   3.30190
  71.10000   9.29500  41.70000  25.72800   0.00000   3.31226
  71.20000   9.27200  32.95000  25.71700   0.00000   3.32266
  71.27000   9.25000  36.80000  25.70900   0.00000   3.32996
  71.30000   9.23500  37.46400  25.70600   0.00000   3.33309
  71.40000   9.18500  33.10000  25.30000   0.00000   3.34356
  71.50000   9.21400  33.61500  18.55000   0.00000   3.35405
  71.60000   9.16900  29.00000  16.26000   0.00000   3.36458
  71.70000   8.93200  28.35700  20.66000   0.00000   3.37515
  71.80000   8.84300  28.71100  25.06000   0.00000   3.38574
  71.85000   8.90800  27.35000  23.20000   0.00000   3.39105
  71.90000   8.97400  25.98900  27.40000   0.00000   3.39637
  72.00000   9.00000  30.48000  25.66300   0.00000   3.40704
  72.10000   8.91700  29.26700  24.77600   0.00000   3.41773
  72.20000   8.98600  27.05000  31.53800   0.00000   3.42846
  72.30000   8.87000  25.86000  38.30000   0.00000   3.43923
